Date,CITY,CNT
2020-05-19,COLOMBO 10,2
2019-06-07,EKALA,1
2019-12-16,KANDANA,1
2019-06-25,BATTARAMULLA,8
2019-09-02,"HOKANDARA SOUTH, HOKANDARA",1
2020-02-03,bepzbiyagama,1
2019-06-27,DEHIWALA,1
2019-11-18,KOCHCHIKADE,4
2019-07-17,COLOMBO 10,5
2019-10-03,BADULLA,1
2020-05-05,SANDALANKAWA,1
2019-07-02,COLOMBO 6,1
2019-07-18,MALWANA,2
2019-11-05,WATTALA,3
2019-11-14,MALWANA,4
2020-05-27,NAWALA,1
2020-04-20,MULLERIYAWA NEW TOWN,1
2019-10-07,KALUTARA,2
2020-03-14,ANURADHAPURA,1
2019-06-10,SANDALANKAWA,1
2020-03-17,KADUWELA,1
2019-09-06,HOKANDARA,1
2019-11-14,NEGOMBO ROAD,1
2019-11-18,COLOMBO 12,1
2019-07-24,POLONNARUWA,1
2019-12-21,MAHABAGE,1
2019-11-08,MINUWANGODA,1
2019-06-08,COLOMBO 5,1
2020-02-03,COLOMBO 3,14
2020-03-17,RANALA,1
2019-10-11,COLOMBO 11,2
2020-02-13,BIYAGAMA,11
2019-11-01,COLOMBO 5,5
2020-01-02,JA-ELA,1
2019-10-30,SANDALANKAWA,1
2019-06-22,GALLE,1
2019-06-25,KELANIYA,1
2019-08-28,KATUNAYAKE,4
2019-10-14,NATTANDIYA,1
2020-01-16,KELANIYA,5
2020-02-29,RANALA,1
2019-11-07,MAKOLA,1
2019-11-21,RAJAGIRIYA,1
2020-02-17,COLOMBO 3,43
2019-08-16,DANKOTUWA,2
2020-02-17,VEYANGODA,1
2019-10-19,JA-ELA,2
2019-11-30,NEBODA,1
2019-12-05,RAJAGIRIYA,2
2019-12-23,RATHMALANA,1
2019-07-26,NEGOMBO,3
2019-08-13,KALUTARA,1
2019-12-16,KURUWITA,1
2019-11-19,KADAWATHA,1
2020-02-14,MAHARAGAMA,2
2019-06-12,KADAWATHA,4
2019-07-05,SANDALANKAWA,1
2019-12-23,BADALGAMA,1
2019-07-29,BIYAGAMA,7
2020-01-23,NUGEGODA,7
2019-06-03,COLOMBO 12,1
2019-10-23,RAJAGIRIYA,5
2019-11-20,COLOMBO WTC,21
2019-06-19,PANADURA,1
2020-01-27,KOTTE,2
2020-04-27,MALWANA,10
2019-09-06,COLOMBO 2,6
2019-08-06,COLOMBO 7,5
2019-11-04,DIVULAPITIYA,1
2020-01-14,MALWANA,5
2019-12-20,DANKOTUWA,3
2019-08-05,KATUWELLEGAMA,2
2019-09-11,BINGIRIYA,1
2019-10-23,DUNAGAHA,1
2020-03-12,PITIGALA,1
2019-07-18,COLOMBO 7,2
2019-11-14,COLOMBO 14,2
2020-01-13,ANURADHAPURA,1
2020-04-20,AVISSAWELLA,11
2020-02-21,LUNUWILA,1
2019-12-23,HORANA,2
2020-01-18,COLOMBO 6,2
2020-01-23,Bepzbiyagama,11
2019-09-11,NUGEGODA,6
2020-01-10,COLOMBO 3,1
2020-03-18,MULLERIYAWA NEW TOWN,1
2019-07-03,DEHIWALA,2
2019-12-10,KOTTE,2
2019-10-19,COLOMBO 8,5
2020-03-07,MORATUWA,1
2019-11-22,AVISSAWELLA,2
2019-08-29,NEGOMBO,2
2019-10-09,COLOMBO 7,1
2019-06-11,COLOMBO,18
2019-11-13,RAMBUKPITIYA,1
2019-11-09,meegoda,1
2019-06-20,SANDALANKAWA,1
2020-02-22,HINDAGOLLA,1
2020-01-30,KATANA,2
2020-02-15,PILIYANDALA,1
2019-06-21,LIYANGAHAWELA,1
2019-10-14,COLOMBO 14,4
2019-10-01,COLOMBO 9,1
2019-11-20,COLOMBO 8,3
2020-01-31,MAWATHAGAMA,1
2020-01-08,DEHIWALA,1
2020-03-10,MAWATHAGAMA,1
2019-07-17,KALUTARA,1
2019-07-30,RATHMALANA,1
2019-07-01,WATTALA,11
2019-10-07,COLOMBO 10,5
2019-11-16,"KATUNAYAKE ",2
2020-01-07,BENTOTA,1
2019-06-01,KOLONNAWA,1
2019-10-28,WENNAPPUWA,1
2020-01-20,KADAWATHA,8
2020-04-23,VEYANGODA,1
2019-09-30,KOTTE,4
2020-01-23,JA ELA,1
2020-01-23,IMBULGODA,1
2019-11-02,RATMALANA,1
2020-02-07,GAMPAHA,1
2020-02-21,DEHIWALA,3
2019-07-27,WENNAPPUWA,1
2019-09-16,COLOMBO 7,9
2020-05-30,MAKOLA,1
2020-01-16,KAPUGODA,1
2019-10-12,MINUWANGODA,1
2020-01-14,23 25 rheinland place,11
2019-09-20,COLOMBO 12,1
2019-08-05,KAPUGODA,1
2019-07-03,GAMPAHA,7
2019-10-26,COLOMBO 8,3
2019-11-08,KOTTE,2
2019-11-19,MALWANA,1
2019-06-05,BANDARAGAMA,1
2019-08-02,DEHIWALA,2
2020-01-17,GALLE,2
2020-03-19,MATARA,1
2019-08-22,PANNIPITIYA,4
2019-08-26,Ragama,3
2019-11-19,BORALESGAMUWA,1
2020-02-12,HEIYANTHUDUWA,1
2020-02-27,PITAKUMBURA,1
2019-10-07,KOSWATTE,1
2020-03-04,JA ELA,2
2020-05-13,01 COLOMBO,1
2020-02-25,MALWANA,4
2020-04-28,KOCHCHIKADE,5
2019-06-13,KELANIYA,1
2019-08-08,Bepz biyagama,1
2019-08-31,COLOMBO 8,3
2019-11-09,BIYAGAMA,5
2019-07-19,Bepz biyagama,1
2019-10-18,GAMPAHA,1
2019-08-15,COLOMBO 7,8
2019-09-30,HOMAGAMA,1
2020-01-18,COLOMBO 12,1
2019-07-22,Ragama,5
2020-03-19,MAHARAGAMA,1
2019-06-28,KOTTAWA,1
2019-07-11,Avissawella,2
2019-08-16,KAPUGODA,1
2019-06-17,KELANIYA,3
2020-02-13,NUGEGODA,5
2020-01-24,SEEDUWA,1
2019-08-23,NUGEGODA,6
2019-11-13,WATTALA,4
2020-03-04,GALGAMUWA,1
2019-10-28,UHUMIYA,1
2019-11-11,COLOMBO 4,1
2019-07-12,COLOMBO 8,1
2019-12-03,COLOMBO 8,2
2019-12-23,COLOMBO 13,4
2019-07-08,RATMALANA,1
2020-02-03,PUTTALAM,2
2019-09-30,VEYANGODA,1
2020-02-06,MAHARAGAMA,2
2019-11-04,COLOMBO 10,8
2019-11-29,COLOMBO 2,14
2020-03-03,DIVULAPITIYA,1
2020-05-12,NITTAMBUWA,5
2019-07-01,KELANIYA,4
2020-01-20,NEGOMBO,6
2020-03-27,KOHUWALA,5
2020-04-20,WENNAPPUWA,1
2019-08-10,COLOMBO 8,5
2019-09-19,WATTALA,2
2019-07-29,NUGEGODA,5
2019-09-10,MAKOLA,1
2019-09-16,MEEGODA,1
2020-01-20,MALWANA,10
2020-01-22,KOBEIGANE,1
2019-08-13,COLOMBO 10,8
2019-10-31,NAWALAKANDA,1
2020-02-11,GALLE,2
2019-06-10,BINGIRIYA,1
2019-10-07,KURUNEGALA,1
2019-12-31,RAJAGIRIYA,1
2020-03-07,BIYAGAMA,4
2020-03-17,BOPE,1
2019-10-15,SEEDUWA,1
2019-11-28,COLOMBO 13,1
2019-07-29,JA ELA,1
2020-02-14,MEEGODA,2
2019-09-07,COLOMBO 5,3
2020-03-10,KOCHCHIKADE,2
2020-03-03,COLOMBO 10,2
2019-07-29,COLOMBO,96
2019-08-07,PANNIPITIYA,2
2019-11-04,Bepzbiysgama,1
2019-08-15,NUGEGODA,10
2019-12-30,COLOMBO 10,6
2019-07-25,JA-ELA,2
2019-09-18,BORALESGAMUWA,1
2019-11-07,KOLONNAWA,1
2020-03-12,RAJAGIRIYA,1
2020-01-18,BIYAGAMA,7
2020-03-27,HIKKADUWA,1
2019-12-26,COLOMBO 8,2
2020-01-27,KADAWATHA,2
2020-04-23,HORANA,1
2019-06-08,NEGOMBO,1
2019-11-01,BIYAGAMA IPZ,4
2020-04-21,UDUGAMPOLA,1
2019-08-03,KATUNAYAKE (FTZ),2
2020-02-11,MALWANA,4
2019-06-01,MALWANA,3
2019-08-31,MALABE,1
2019-11-20,COLOMBO 2,9
2020-02-13,BANDARAGAMA,1
2020-02-14,MATARA,2
2020-01-17,ragama,6
2019-08-28,BORALESGAMUWA,1
2019-09-03,COLOMBO 5,1
2019-11-04,DEDIGAMUWA,1
2019-11-16,PELAWATTA,1
2020-01-09,COLOMBO 15,2
2019-06-27,WATTALA,1
2019-11-30,PEPILIYANA,1
2019-12-17,DEHIWALA,2
2020-01-22,BATTARAMULLA,3
2019-06-27,KURUNEGALA,1
2020-06-01,VAVUNIYA,2
2019-08-01,MAHARAGAMA,1
2019-10-28,PILIYANDALA,2
2019-12-14,KATUNAYAKE,12
2019-08-28,COLOMBO 13,1
2019-09-14,KALUTARA,2
2019-11-06,NEGOMBO,3
2019-11-09,PELIYAGODA,1
2019-11-21,BIYAGAMA,2
2019-12-03,RATMALANA,2
2019-09-12,KAPUGODA,1
2020-02-13,PANADURA,3
2019-08-13,COLOMBO 15,1
2019-08-22,WELIGAMA,1
2019-09-18,KALUTARA,4
2019-09-30,KANDAWINNA,1
2019-12-30,DELGODA,2
2020-02-13,COLOMBO 4,2
2020-03-20,KADAWATHA,2
2020-04-30,ATHURUGIRIYA,1
2019-10-03,RATHMALGAHAWEWA,1
2020-01-01,WERELLAGAMA,1
2020-01-31,SIRIMALGODA,1
2019-07-05,RAJAGIRIYA,5
2019-07-05,NUGEGODA,7
2019-07-08,Kathunayake,1
2019-10-07,KOTTE,1
2020-05-02,MORATUWA,1
2020-05-23,COLOMBO 14,1
2019-08-28,HORANA,1
2019-08-28,COLOMBO 5,5
2019-09-07,MATHUGAMA,1
2019-10-12,COLOMBO 10,5
2020-02-25,COLOMBO 3,12
2019-09-06,COLOMBO 4,5
2019-09-18,COLOMBO 10,3
2019-06-07,BADALGAMA,1
2019-09-09,GOMPOLA,1
2019-12-18,PANNIPITIYA,3
2020-03-13,COLOMBO 3,57
2019-07-02,Malabe,1
2019-07-13,MALWANA,6
2019-11-04,MALWANA,15
2020-03-30,COLOMBO 2,1
2019-09-10,COLOMBO 8,1
2019-12-26,PELIYAGODA,1
2019-06-13,PILIYANDALA,1
2019-11-04,HEIYANTHUDUWA,1
2020-01-20,COLOMBO 13,4
2019-08-20,COLOMBO 13,2
2020-03-19,COLOMBO 6,1
2020-05-26,RAJAGIRIYA,6
2019-07-17,NEGOMBO,4
2019-10-07,COLOMBO 5,9
2020-02-13,COLOMBO 8,2
2020-02-17,KATUNAYAKE,13
2019-08-17,MAHARAGAMA,2
2019-09-14,COLOMBO 10,12
2019-10-16,RANALA,1
2019-06-20,KEGALLE,1
2019-11-28,COLOMBO 5,5
2020-01-22,WATTALA,3
2020-06-01,AVISSAWELLA,4
2019-09-26,MADAMPE,1
2019-10-03,KOTTE,1
2019-11-11,KAPUGODA,1
2020-04-23,IMBULGODA,1
2019-09-20,MATARA,1
2020-01-21,Mirigam2,1
2019-08-07,COLOMBO 10,3
2020-04-28,THIMBIRIGASKATUWA NEGOM,1
2019-07-15,KAHATHUDUWA,1
2019-11-30,AVISSAWELLA,3
2019-12-10,COLOMBO 5,4
2020-05-26,JA ELA,1
2020-05-19,MOUNT LAVINIA,5
2019-12-30,KALUTARA,1
2019-06-27,BATTARAMULLA,5
2019-08-12,COLOMBO 3,31
2019-09-21,COLOMBO 14,2
2019-10-19,Dehiwela,18
2019-08-09,AKARAGAMA,1
2019-11-27,COLOMBO 14,1
2020-02-27,KADUWELA,1
2019-06-26,COLOMBO 3,24
2019-07-29,ragama,8
2019-09-11,PELIYAGODA,2
2019-12-06,KADUWELA,1
2019-07-15,KAPUGODA,1
2019-08-29,KADAWATHA,3
2019-12-07,EKALA,2
2019-08-08,PILIYANDALA,3
2019-10-26,KAPUGODA,1
2019-11-30,ATHURUGIRIYA,1
2020-01-30,KADAWATHA,1
2019-06-22,COLOMBO 3,73
2019-07-09,PANNIPITIYA,1
2020-01-11,NITTAMBUWA,3
2020-04-22,COLOMBO 9,1
2019-12-09,PERADENIYA,1
2019-08-06,NUGEGODA,4
2020-01-04,HORANA,1
2019-09-19,NITTAMBUWA,2
2020-02-15,BATTARAMULLA,1
2019-10-18,KOLONNAWA,1
2019-10-14,UDUGAMPOLA,1
2020-01-22,KELANIYA,1
2020-01-27,HEIYANTHUDUWA,1
2019-10-21,JA ELA,1
2020-02-29,RAMBUKKANA,3
2019-07-20,PILIYANDALA,1
2020-02-03,MALWANA,9
2020-05-26,bepzbiyagma,1
2019-11-05,MIRIGAMA,1
2020-02-03,NEGOMBO,5
2019-09-19,PILIYANDALA,1
2020-01-16,BATTARAMULLA,3
2019-09-19,COLOMBO 8,5
2020-03-10,COLOMBO 6,3
2019-12-16,COLOMBO 15,1
2019-12-30,BORALESGAMUWA,1
2020-02-06,KAMBURUPITIYA,1
2020-03-12,COLOMBO,11
2019-07-24,Wathupitiwala,3
2019-06-29,DANKOTUWA,1
2019-08-13,MAWATHAGAMA,1
2020-01-23,ANANDA COOMARASWARY 03,1
2019-06-13,SEEDUWA,1
2019-10-19,PELIYAGODA,1
2020-01-01,KADAWATHA,1
2020-03-11,COLOMBO 11,4
2019-08-16,SEEDUWA,1
2019-08-23,"EKALA,JA ELA",1
2019-11-09,MORATUWA,1
2020-05-14,COLOMBO 1,12
2019-11-19,Nittabuwa,1
2020-01-23,COLOMBO 3,48
2020-01-06,KATUNAYAKE (FTZ),1
2019-06-17,SEEDUWA,2
2019-07-20,PITA KOTTE,1
2020-02-10,DEMANHANDIYA,1
2019-08-30,BORALESGAMUWA,1
2019-11-14,Northmanufact,1
2019-07-15,HOMAGAMA,1
2019-09-14,NEGOMBO,2
2019-09-14,MALWANA,23
2020-03-19,PAMUNUGAMA,1
2020-02-15,KELANIYA,3
2019-08-20,MALWANA,1
2020-01-01,MALWANA,1
2019-08-05,GAMPAHA,6
2019-11-09,SANDALANKAWA,1
2019-06-05,COLOMBO 2,1
2019-06-29,SEEDUWA,1
2020-04-23,ragama,7
2019-06-06,YAKKALA,1
2019-08-02,COLOMBO 10,4
2019-08-19,KOCHCHIKADE,2
2019-10-12,KALUTARA,1
2019-12-26,MARADANA,1
2020-01-27,MOUNT LAVINIA,1
2020-02-15,COLOMBO 12,1
2019-11-29,DANKOTUWA,1
2020-01-02,SRI JAYAWARDENAPURA,1
2020-02-29,NITTAMBUWA,4
2019-07-13,JA ELA,4
2019-08-17,RATMALWALA,1
2019-10-30,RAJAGIRIYA,1
2019-06-18,NITTAMBUWA,1
2020-05-27,COLOMBO,3
2019-07-13,BADALGAMA,2
2019-08-06,COLOMBO 3,56
2019-08-30,COLOMBO 5,1
2019-12-06,KADAWATHA,6
2020-04-20,PADUKKA,1
2019-11-11,WELLAMPITYA,1
2019-07-25,KURUNEGALA,5
2019-11-11,GAMPAHA,1
2020-01-09,PANADURA,2
2019-10-16,KALUTARA,1
2019-06-17,DEHIWELA,1
2019-07-19,KATUWELLEGAMA,1
2019-12-17,GAMPAHA,2
2020-03-11,BADULLA,1
2019-07-04,COLOMBO 5,2
2019-08-03,COLOMBO 6,1
2019-12-23,THIHAGODA,1
2019-11-25,KOTTE,3
2019-09-30,MALWANA,9
2019-12-17,KURUNEGALA,1
2019-12-20,SEEDUWA,1
2020-05-26,COLOMBO 7,7
2019-08-07,DIVULAPITIYA,1
2019-08-10,Rathmarana,1
2019-09-03,KATUNAYAKE,1
2020-01-21,"KATUNAYAKE ",2
2020-05-28,COLOMBO 1,4
2019-08-01,COLOMBO 3,64
2019-09-16,SANDALANKAWA,1
2020-03-12,COLOMBO 2,9
2019-09-20,MAHARAGAMA,1
2019-07-17,KADUWELA,1
2019-07-10,BIYAGAMA IPZ,1
2020-03-19,KATANA,3
2020-03-28,NEGOMBO,2
2019-08-26,BIYAGAMA,5
2020-01-04,PANADURA,1
2019-11-30,POLGASOWITA,1
2020-02-19,COLOMBO 6,4
2020-03-18,COLOMBO 12,1
2020-04-23,RAJAGIRIYA,8
2019-08-07,WATTALA,2
2019-10-28,BIYAGAMA,11
2019-12-02,HOMAGAMA,3
2019-09-21,WATTALA,4
2020-02-07,KALUTARA,1
2020-03-14,bepzbiyahama,2
2020-05-19,MALWANA,9
2019-09-07,KATUNAYAKE,6
2019-10-28,RANALA,3
2019-07-18,JA ELA,1
2019-09-25,MAWATHAGAMA,1
2019-07-06,COLOMBO 7,1
2019-08-02,GALLE,1
2019-10-17,Ekala,9
2019-06-13,BORELLA,1
2019-08-01,MATARA,1
2019-08-29,PUTTALAM,1
2019-10-31,WATTALA,4
2020-02-20,COLOMBO 3,34
2019-06-04,HORANA,1
2019-08-12,RATMALWALA,1
2019-11-14,COLOMBO 10,5
2019-12-06,JA-ELA,1
2020-02-28,EKALA,1
2019-08-19,COLOMBO 6,2
2019-09-02,COLOMBO 3,100
2019-09-18,NEGOMBO,3
2019-09-21,DIVULAPITIYA,1
2019-09-25,COLOMBO 5,3
2019-10-28,KADUWELA,2
2019-07-05,ATHURUGIRIYA,1
2019-11-23,COLOMBO 5,9
2020-01-13,RATMALWALA,2
2019-11-16,COLOMBO 15,1
2020-03-04,Bepzbiyafsma,1
2020-03-24,PELIYAGODA,3
2020-05-23,WATTALA,1
2019-06-01,KADAWATHA,4
2019-11-04,KADAWATHA,4
2019-12-07,MALWANA,14
2020-02-17,BELIHULOYA,1
2020-04-28,AVISSAWELLA,1
2019-10-18,EKALA JA ELA,1
2019-11-08,DELGODA,2
2019-11-11,MAWATHA,1
2019-11-22,KATUNAYAKE (FTZ),1
2019-12-23,MORATUWA,6
2020-02-17,GALLE,2
2019-08-20,SIYAMBALAPE,1
2020-01-22,COLOMBO 14,2
2019-09-26,GAMPAHA,1
2019-11-21,COLOMBO 3,57
2020-01-06,KANDY,2
2020-01-22,DEHIWALA,2
2020-02-14,TALAWAKELE,1
2020-03-17,Nitabuwa,1
2019-07-06,MADAPATHA,1
2020-02-29,COLOMBO 10,6
2019-07-04,NEGOMBO,2
2019-11-08,KOLONNAWA,1
2020-01-25,UNAWATUNA,1
2020-05-02,RAJAGIRIYA,5
2020-05-27,COLOMBO 2,3
2019-08-10,TALAWATUGODA,1
2019-09-25,MATAL,1
2019-10-28,JA-ELA,7
2019-11-20,COLOMBO 4,1
2019-12-21,KAPUGODA,3
2019-12-05,UNAWATUNA,1
2019-12-20,BIYAGAMA IPZ,1
2020-01-27,COLOMBO 11,3
2019-10-30,COLOMBO 7,6
2020-01-18,COLOMBO 9,1
2020-02-13,COLOMBO 2,10
2019-06-01,NEGOMBO,1
2019-11-28,KATUNAYAKE,11
2020-05-02,Kalubowila,3
2019-08-05,NAWALA,1
2019-08-16,GAMPAHA,1
2019-08-29,COLOMBO 13,1
2019-06-05,COLOMBO 1,1
2019-08-19,MULLERIYAWA NEW TOWN,1
2020-05-15,COLOMBO,2
2020-03-10,COLOMBO 9,4
2020-05-02,MALABE,1
2019-08-17,MATARA,2
2020-05-27,COLOMBO 8,2
2019-07-08,COLOMBO 1,16
2020-01-11,ANDIAMBALAMA,1
